timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_cmd_trq,motor_drv_mode
1754435421659931886,2.86487,-13.8359,-607.246,-16.3987,-0.434281,-0.5,10
1754435421685041035,2.9929,-10.0195,-608.597,-13.6249,0.0453612,0.11798,10
1754435421709907184,2.73853,-8.20703,-608.597,-13.6249,0.0453612,0.11798,10
1754435421734941537,2.52868,-8.33398,-608.597,-13.6249,0.0453612,0.11798,10
1754435421760029427,2.25646,-6.62891,-608.597,-13.6249,0.0453612,0.11798,10
1754435421785003280,2.14165,-2.9668,-609.202,-2.20401,0.332658,0.5,10
1754435421810027411,2.1193,0.867188,-609.202,-2.20401,0.332658,0.5,10
1754435421834991041,2.14862,4.02539,-609.202,-2.20401,0.332658,0.5,10
1754435421860063116,2.26074,6.81836,-609.202,-2.20401,0.332658,0.5,10
1754435421884949173,2.44417,8.87109,-608.649,11.4534,0.316461,0.392344,10
1754435421909903007,2.61504,11.5215,-608.649,11.4534,0.316461,0.392344,10
1754435421935016471,2.80593,12.8789,-608.649,11.4534,0.316461,0.392344,10
1754435421960021083,3.06986,14.1484,-608.649,11.4534,0.316461,0.392344,10
1754435421984990436,2.81456,14.0234,-607.211,15.9548,0.145092,0.207148,10
1754435422009990937,2.42098,13.3496,-607.211,15.9548,0.145092,0.207148,10
1754435422035021808,4.21394,13.9688,-607.211,15.9548,0.145092,0.207148,10
1754435422059961550,4.55518,12.5488,-607.211,15.9548,0.145092,0.207148,10
1754435422084962236,4.79292,8.37695,-606.053,4.87988,-0.501708,-0.5,10
1754435422109931755,5.01631,3.91602,-606.053,4.87988,-0.501708,-0.5,10
1754435422135092979,5.09536,1.16602,-606.053,4.87988,-0.501708,-0.5,10
1754435422160005294,5.10122,-2.04492,-606.053,4.87988,-0.501708,-0.5,10
1754435422185043443,5.04841,-5.35742,-606.083,-6.73043,-0.353025,-0.5,10
1754435422209994889,4.92321,-6.88672,-606.083,-6.73043,-0.353025,-0.5,10
1754435422234998186,4.73199,-10.2227,-606.083,-6.73043,-0.353025,-0.5,10
1754435422259984242,4.45469,-13.2598,-606.083,-6.73043,-0.353025,-0.5,10
1754435422285138077,4.04046,-15.7109,-607.368,-18.5517,-0.329237,-0.405801,10
1754435422309961874,3.69794,-18.0625,-607.368,-18.5517,-0.329237,-0.405801,10
1754435422335055616,3.25778,-18.5176,-607.368,-18.5517,-0.329237,-0.405801,10
1754435422360021190,2.69365,-16.8203,-607.368,-18.5517,-0.329237,-0.405801,10
1754435422385143969,2.36675,-15.3984,-609.252,-13.6754,0.192248,0.431054,10
1754435422409953081,1.95403,-11.709,-609.252,-13.6754,0.192248,0.431054,10
1754435422435027471,1.72667,-9.67773,-609.252,-13.6754,0.192248,0.431054,10
1754435422459973675,1.52899,-5.53906,-609.252,-13.6754,0.192248,0.431054,10
1754435422485068047,1.39476,-1.77734,-609.913,-0.428222,0.337794,0.5,10
1754435422509903159,1.36282,1.5625,-609.913,-0.428222,0.337794,0.5,10
1754435422535066845,1.39983,4.34766,-609.913,-0.428222,0.337794,0.5,10
1754435422559950753,1.50659,6.62891,-609.913,-0.428222,0.337794,0.5,10
1754435422585000902,1.71662,9.65625,-609.327,11.2514,0.408039,0.5,10
1754435422610057274,1.99552,12.7363,-609.327,11.2514,0.408039,0.5,10
1754435422635163367,2.33727,15.7285,-609.327,11.2514,0.408039,0.5,10
1754435422660093757,2.65406,16.6816,-609.327,11.2514,0.408039,0.5,10
1754435422685037591,3.08264,17.2246,-607.659,18.8418,0.211035,0.0731081,10
1754435422709990407,2.81256,16.5801,-607.659,18.8418,0.211035,0.0731081,10
1754435422734969667,3.92485,15.6035,-607.659,18.8418,0.211035,0.0731081,10
1754435422759934742,4.29338,15.4023,-607.659,18.8418,0.211035,0.0731081,10
1754435422785021669,4.62197,13.7227,-605.966,8.00797,-0.355084,-0.5,10
1754435422810245411,5.04911,9.76953,-605.966,8.00797,-0.355084,-0.5,10
1754435422835877969,5.22716,5.85156,-605.966,8.00797,-0.355084,-0.5,10
1754435422859969505,5.35401,3.52734,-605.966,8.00797,-0.355084,-0.5,10
1754435422885076154,5.41308,-0.101562,-605.522,-2.05279,-0.351319,-0.5,10
1754435422910085007,5.39874,-2.45898,-605.522,-2.05279,-0.351319,-0.5,10
1754435422934979545,5.3253,-5.16406,-605.522,-2.05279,-0.351319,-0.5,10
1754435422960061342,5.15879,-7.62891,-605.522,-2.05279,-0.351319,-0.5,10
1754435422985043843,4.9245,-10.1367,-606.271,-11.3887,-0.373601,-0.5,10
1754435423010069010,4.69594,-8.05469,-606.271,-11.3887,-0.373601,-0.5,10
1754435423034935844,4.50758,-5.98633,-606.271,-11.3887,-0.373601,-0.5,10
1754435423060119994,4.34308,-6.72266,-606.271,-11.3887,-0.373601,-0.5,10
1754435423085105846,4.14086,-8.17188,-607.09,-9.8476,-0.437675,-0.456001,10
1754435423110134810,3.93313,-6.11523,-607.09,-9.8476,-0.437675,-0.456001,10
1754435423135038922,3.81915,-3.24414,-607.09,-9.8476,-0.437675,-0.456001,10
1754435423160044774,3.80261,1.51562,-607.09,-9.8476,-0.437675,-0.456001,10
1754435423185097701,3.83638,1.55273,-607.346,-1.56823,0,-0.303763,1
1754435423214694842,3.8562,0.496094,-607.346,-1.56823,0,-0.303763,1
1754435423236068501,3.85523,-0.318359,-607.346,-1.56823,0,-0.303763,1
1754435423260004722,3.84645,-0.136719,-607.346,-1.56823,0,-0.303763,1
1754435423285107075,3.84374,0.0332031,-607.346,-1.56823,0,-0.30744,1
1754435423310089002,3.84425,0.0234375,-607.346,-1.56823,0,-0.30744,1
1754435423334978224,3.84487,0.130859,-607.346,-1.56823,0,-0.30744,1
1754435423360022503,3.84753,0.0488281,-607.346,-1.56823,0,-0.30744,1
1754435423385026263,3.84743,-0.0214844,-607.346,-1.56823,0,-0.309287,1
