timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode
1767896063752977572,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063764000143,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063774629916,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063785095337,0.0416598,0,-0.104822,0,-nan,-8.08386,0
1767896063797029671,0.0416598,0,-0.104822,0,-nan,-8.08386,0
1767896063807711278,0.0416598,0,-0.104822,0,-nan,-8.08386,0
1767896063817967864,0.0416598,0,-0.104822,0,-nan,-8.08386,0
1767896063828431636,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063838890297,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063850645761,0.0416598,0,-0.104822,0,-nan,-8.08386,0
1767896063861212682,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063872003900,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063882509839,0.0416598,0,-0.0608765,0,-nan,-8.08386,0
1767896063894244210,0.0416427,0,-0.0608765,0,-nan,-8.08386,0
1767896063904698371,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896063915225569,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896063925742601,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896063936220466,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896063947990207,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896063958548017,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896063968964900,0.0416427,0,-0.104839,0,-nan,-8.08399,0
1767896063979511228,0.0416427,0,-0.104839,0,-nan,-8.08399,0
1767896063989956704,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064001695131,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064012127477,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064022562452,0.0416427,0,-0.104839,0,-nan,-8.08399,0
1767896064032973743,0.0416427,0,-0.104839,0,-nan,-8.08399,0
1767896064044693743,0.0416427,0,-0.19273,0,-nan,-8.08399,0
1767896064055146552,0.0416427,0,-0.19273,0,-nan,-8.08399,0
1767896064065582361,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064075991893,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064086537906,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064098218202,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064108675252,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064119233710,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064129943372,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064140360811,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064152026144,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064162429287,0.0416427,0,-0.104839,0,-nan,-8.08399,0
1767896064172866262,0.0416427,0,-0.104839,0,-nan,-8.08399,0
1767896064183524165,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064195264814,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064205674623,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064216061191,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064226439314,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064236795808,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064248441049,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064258820821,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064269226370,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064279625642,0.0416427,0,-0.19273,0,-nan,-8.08399,0
1767896064289995062,0.0416427,0,-0.19273,0,-nan,-8.08399,0
1767896064301811044,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064312351650,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064322775737,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064333530696,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064345186270,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064355750450,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064366314185,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064376865625,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064387440823,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064399263343,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064411412790,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064421860265,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064432322056,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064444107131,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064454582570,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064465015175,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064475459799,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064485881997,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064497596627,0.0416427,0,-0.148784,0,-nan,-8.08399,0
1767896064508290067,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896064518541301,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896064529080073,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896064539550197,0.0416427,0,-0.0608937,0,-nan,-8.08399,0
1767896064551170438,0.0416257,0,-0.0608937,0,-nan,-8.08399,0
1767896064562104342,0.0416257,0,-0.0608937,0,-nan,-8.08412,0
1767896064572894838,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896064583051998,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064594821276,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064605423790,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064615997118,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064626474686,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064636969773,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064648779793,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064659573974,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064669641448,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064680071109,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064690475214,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064702248641,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896064712635301,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896064723099036,0.0416257,0,-0.0169656,0,-nan,-8.08412,0
1767896064733804995,0.0416257,0,-0.0169656,0,-nan,-8.08412,0
1767896064745552199,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064756010101,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064766499299,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064776929330,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064787447695,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064799132436,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064809666412,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064820067981,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064830577327,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064842433958,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064852617488,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064862999371,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064873438143,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064883832748,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064895511063,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064905896594,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064916358496,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064926743527,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064937377540,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064949023448,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064959394108,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064969754343,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896064980107004,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896064990467960,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065002115627,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065012499399,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065023014912,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896065033477962,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896065045159740,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065055534493,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065065895098,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065076362203,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065086818624,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065098536087,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065109026581,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896065119378223,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896065129805699,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896065140222212,0.0416257,0,-0.104856,0,-nan,-8.08412,0
1767896065151896360,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065162282872,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065172549884,0.0416257,0,-0.0609109,0,-nan,-8.08412,0
1767896065182970341,0.0416257,0,-0.192747,0,-nan,-8.08412,0
1767896065194535859,0.0416257,0,-0.192747,0,-nan,-8.08412,0
1767896065204877575,0.0416257,0,-0.148801,0,-nan,-8.08412,0
1767896065215425385,0.0416257,0,-0.148801,0,-nan,-8.08412,0
1767896065225904102,0.0416257,0,-0.148801,0,-nan,-8.08412,0
1767896065236333910,0.0416257,0,-0.148801,0,-nan,-8.08412,0
1767896065248124078,0.0416257,0,-0.192747,0,-nan,-8.08412,0
1767896065258497275,0.0416257,0,-0.192747,0,-nan,-8.08412,0
1767896065269286660,0.0416257,0,-0.192747,0,-nan,-8.08412,0
1767896065279421746,0.0416257,0.00195312,-0.192747,0.00390625,-nan,-8.08189,0
1767896065289858277,0.0416086,0.00195312,-0.148801,0.00390625,-nan,-8.08189,0
1767896065301652889,0.0417281,0.00195312,-0.148698,0.00195312,-nan,-8.08224,0
1767896065312165346,0.041746,0.00195312,-0.148698,0.00195312,-nan,-8.08224,0
1767896065322728433,0.0417451,0,-0.148681,0,-nan,-8.08323,0
1767896065333172557,0.041746,-0.00195312,-0.148681,0,-nan,-8.08323,0
1767896065345496949,0.041746,0,-0.104736,0,-nan,-8.08322,0
1767896065355630294,0.0416257,0,-0.104736,0,-nan,-8.08412,0
1767896065365974788,0.0416097,0,-0.0609109,0,-nan,-8.08412,0
1767896065376457023,0.0416097,0.00390625,-0.0609109,0,-nan,-8.08201,0
1767896065386828869,0.0416097,-0.00195312,-0.0609261,0.00390625,-nan,-8.08201,0
1767896065398561443,0.0415927,-0.00195312,-0.0609261,0.00390625,-nan,-8.08325,0
1767896065409200105,0.0415927,0.00195312,-0.0609433,0.00195312,-nan,-8.08325,0
1767896065419639284,0.0415927,-0.00195312,-0.0609433,-0.00195312,-nan,-8.08548,0
1767896065429939241,0.0415927,-0.00195312,-0.104889,-0.00195312,-nan,-8.08548,0
1767896065440346198,0.0415927,0,-0.148834,0,-nan,-8.08436,0
1767896065452050920,0.0416086,0,-0.148834,0,-nan,-8.08436,0
1767896065462344970,0.0415907,-0.0078125,-0.148836,-0.0078125,-nan,-8.08883,0
1767896065472741352,0.0415907,0,-0.148836,-0.0078125,-nan,-8.08883,0
1767896065483031809,0.0415907,0,-0.192781,0,-nan,-8.08438,0
1767896065494719513,0.0415907,0.00585938,-0.192781,0,-nan,-8.08326,0
1767896065505228248,0.0415907,0.00195312,-0.148836,0.00195312,-nan,-8.08326,0
1767896065515609946,0.0415907,0,-0.148836,0.00195312,-nan,-8.08438,0
1767896065526044718,0.0415907,-0.00390625,-0.148836,0,-nan,-8.08438,0
1767896065536430730,0.0415907,0.00195312,-0.148836,0,-nan,-8.08326,0
1767896065548249157,0.0415916,0.00195312,-0.148836,0.00195312,-nan,-8.08326,0
1767896065558582706,0.0415916,-0.00195312,-0.148836,-0.00195312,-nan,-8.08548,0
1767896065568900496,0.0415916,-0.00195312,-0.148836,-0.00195312,-nan,-8.08548,0
1767896065579318935,0.0415916,0,-0.148836,0,-nan,-8.08437,0
1767896065589655465,0.0415916,0,-0.148836,0,-nan,-8.08437,0
1767896065601258687,0.0415907,-0.00195312,-0.148836,-0.00195312,-nan,-8.08549,0
1767896065611691478,0.0415907,-0.00195312,-0.148836,-0.00195312,-nan,-8.08549,0
1767896065622022694,0.0415907,0,-0.148836,0,-nan,-8.08438,0
1767896065632380706,0.0415907,0,-0.148836,0,-nan,-8.08438,0
1767896065644051428,0.0415907,0.0078125,-0.148836,0.0078125,-nan,-8.07992,0
1767896065654470645,0.0415907,0,-0.148836,0.0078125,-nan,-8.08438,0
1767896065664934176,0.0415907,-0.00195312,-0.148836,0,-nan,-8.08438,0
1767896065675527764,0.0415907,-0.00390625,-0.148836,0,-nan,-8.08326,0
1767896065685877017,0.0415907,0.00195312,-0.148836,0.00195312,-nan,-8.08326,0
1767896065697620943,0.0415907,0,-0.148836,0.00195312,-nan,-8.08215,0
1767896065708037104,0.0415907,0.00390625,-0.148836,0.00390625,-nan,-8.08215,0
1767896065718420153,0.0415907,0,-0.148836,0.00390625,-nan,-8.08438,0
1767896065728920481,0.0415907,0,-0.148836,0,-nan,-8.08438,0
1767896065740336924,0.0415907,0.00195312,-0.148836,0,-nan,-8.08438,0
1767896065753167875,0.0415916,0,-0.148836,0,-nan,-8.08438,0
1767896065763950630,0.0415907,0,-0.192781,0,-nan,-8.08438,0
1767896065774537513,0.0415907,-0.00390625,-0.192781,0,-nan,-8.08438,0
1767896065784823988,0.0415916,-0.00195312,-0.236726,-0.00195312,-nan,-8.08548,0
1767896065796547600,0.0415916,-0.00585938,-0.236726,-0.00195312,-nan,-8.08771,0
1767896065806919797,0.0415756,0.00195312,-0.236726,-0.00585938,-nan,-8.08771,0
1767896065817172920,0.0415756,-0.00195312,-0.236726,-0.00585938,-nan,-8.08338,0
1767896065827450229,0.0415916,0.00195312,-0.148851,0.00195312,-nan,-8.08338,0
1767896065837640018,0.0415745,0.00195312,-0.148851,0.00195312,-nan,-8.0845,0
1767896065849189703,0.0415586,0,-0.148853,0,-nan,-8.0845,0
1767896065859408455,0.0415586,0.00390625,-0.148868,0.00390625,-nan,-8.08239,0
1767896065869694208,0.0415586,0.00390625,-0.148868,0.00390625,-nan,-8.08239,0
1767896065879971220,0.0416788,0.00195312,-0.104803,0.00195312,-nan,-8.08261,0
1767896065890220139,0.0416788,-0.00195312,-0.104803,0.00195312,-nan,-8.08261,0
1767896065901822935,0.0416948,0,-0.0608422,0,-nan,-8.0836,0
1767896065912665968,0.0416948,0.00195312,-0.0608422,0,-nan,-8.0836,0
1767896065922636386,0.0416948,0.00390625,-0.0608422,0.00390625,-nan,-8.08138,0
1767896065932888194,0.0416777,-0.00195312,-0.0608422,0.00390625,-nan,-8.08138,0
1767896065944978900,0.0416777,-0.00195312,-0.104805,-0.00195312,-nan,-8.08484,0
1767896065955384079,0.0416777,-0.00195312,-0.104805,-0.00195312,-nan,-8.08373,0
1767896065965612961,0.0416769,0,-0.0608594,0,-nan,-8.08373,0
1767896065975878214,0.0416769,0.00195312,-0.0608594,0,-nan,-8.08262,0
