timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,motor_drv_mode
1755031942413698089,1.56615,0,0.0191618,0.00470518,-1.50351,-1.54657,10
1755031942438625987,1.56615,0,0.0191618,0.00470518,-1.50351,-1.54657,10
1755031942463704515,1.56615,0,0.0191618,0.00340739,-1.57647,-1.54657,10
1755031942489485989,1.56615,0,0.0191618,0.00340739,-1.57647,-1.54657,10
1755031942513670236,1.56615,0,0.0191618,0.00340739,-1.57647,-1.54657,10
1755031942538714209,1.56615,0,0.0191618,0.00340739,-1.57647,-1.54657,10
1755031942563902533,1.56615,0,0.0191618,-0.00336082,-1.53043,-1.54657,10
1755031942588698171,1.56615,0,0.0191137,-0.00336082,-1.53043,-1.54657,10
1755031942613690847,1.56615,0,0.0191137,-0.00336082,-1.53043,-1.54657,10
1755031942638749412,1.56615,0,0.0191137,-0.00336082,-1.53043,-1.54657,10
1755031942663672051,1.56615,0,0.0191137,-0.0104445,-1.53069,-1.54657,10
1755031942688821208,1.56615,0,0.0190498,-0.0104445,-1.53069,-1.54657,10
1755031942713709254,1.56615,0,0.0190498,-0.0104445,-1.53069,-1.54657,10
1755031942738702837,1.56615,0,0.0190498,-0.0104445,-1.53069,-1.54657,10
1755031942763717383,1.56615,0,0.019066,-0.0239727,-1.49589,-1.54657,10
1755031942788664855,1.56615,0,0.019066,-0.0239727,-1.49589,-1.54657,10
1755031942813840291,1.56615,0,0.019066,-0.0239727,-1.49589,-1.54657,10
1755031942838691855,1.56615,0,0.019066,-0.0239727,-1.49589,-1.54657,10
1755031942863662512,1.56615,0,0.0191776,0.00235112,-1.48518,-1.54657,10
1755031942888737985,1.56615,0,0.0191776,0.00235112,-1.48518,-1.54657,10
1755031942913868328,1.56615,0,0.0191776,0.00235112,-1.48518,-1.54657,10
1755031942938647799,1.56615,0,0.0191776,0.00235112,-1.48518,-1.54657,10
1755031942963701845,1.56615,0,0.0191456,-0.0127641,-1.61447,-1.54657,10
1755031942988733188,1.56615,0,0.0191456,-0.0127641,-1.61447,-1.54657,10
1755031943013651845,1.56615,0,0.0191456,-0.0127641,-1.61447,-1.54657,10
1755031943038727743,1.56615,0,0.0191456,-0.0127641,-1.61447,-1.54657,10
1755031943063696456,1.56615,0,0.0191618,0.00495818,-1.44299,-1.54657,10
1755031943088695613,1.56615,0,0.0191618,0.00495818,-1.44299,-1.54657,10
1755031943113721623,1.56615,0,0.0191618,0.00495818,-1.44299,-1.54657,10
1755031943138726891,1.56615,0,0.0191618,0.00495818,-1.44299,-1.54657,10
1755031943163706437,1.56615,0,0.0191137,-0.00970357,-1.5115,-1.54657,10
1755031943188719187,1.56615,0,0.0191137,-0.00970357,-1.5115,-1.54657,10
1755031943213780474,1.56615,0,0.0191137,-0.00970357,-1.5115,-1.54657,10
1755031943238723557,1.56615,0,0.0191137,-0.00970357,-1.5115,-1.54657,10
1755031943263823270,1.56615,0,0.0191137,0.0130784,-1.54974,-1.54657,10
1755031943289303762,1.56615,0,0.0191456,0.0130784,-1.54974,-1.54657,10
1755031943313968233,1.56615,0,0.0191456,0.0130784,-1.54974,-1.54657,10
1755031943338826742,1.56615,0,0.0191456,0.0130784,-1.54974,-1.54657,10
1755031943363801473,1.56615,0,0.0191456,0.0176765,-1.57651,-1.54657,10
1755031943388879594,1.56615,0,0.0191776,0.0176765,-1.57651,-1.54657,10
1755031943413816806,1.56615,0,0.0191776,0.0176765,-1.57651,-1.54657,10
1755031943438858723,1.56615,0,0.0191776,0.0176765,-1.57651,-1.54657,10
1755031943463805436,1.56615,0,0.0191137,-0.00690266,-1.5496,-1.54657,10
1755031943488907612,1.56615,0,0.0191137,-0.00690266,-1.5496,-1.54657,10
1755031943513931251,1.56615,0,0.0191137,-0.00690266,-1.5496,-1.54657,10
1755031943538798148,1.56615,0,0.0191137,-0.00690266,-1.5496,-1.54657,10
1755031943563864398,1.56615,0,0.0190817,-0.0131485,-1.50384,-1.54657,10
1755031943588795778,1.56615,0,0.0190817,-0.0131485,-1.50384,-1.54657,10
1755031943613824676,1.56615,0,0.0190817,-0.0131485,-1.50384,-1.54657,10
1755031943638810537,1.56615,0,0.0190817,-0.0131485,-1.50384,-1.54657,10
1755031943663770472,1.56615,0,0.0190817,0.0169586,-1.60318,-1.54657,10
1755031943690098447,1.56615,0,0.0191618,0.0169586,-1.60318,-1.54657,10
1755031943713791527,1.56615,0,0.0191618,0.0169586,-1.60318,-1.54657,10
1755031943738959296,1.56615,0,0.0191618,0.0169586,-1.60318,-1.54657,10
1755031943763849342,1.56615,0,0.0191618,0.0119498,-1.58775,-1.54657,10
1755031943788784017,1.56615,0,0.0191776,0.0119498,-1.58775,-1.54657,10
1755031943814204805,1.56615,0,0.0191776,0.0119498,-1.58775,-1.54657,10
1755031943838946184,1.56615,0,0.0191776,0.0119498,-1.58775,-1.54657,10
1755031943863826934,1.56615,0,0.0191776,-0.0120232,-1.53431,-1.54657,10
1755031943888922406,1.56615,0,0.0191137,-0.0120232,-1.53431,-1.54657,10
1755031943913951490,1.56615,0,0.0191137,-0.0120232,-1.53431,-1.54657,10
1755031943938811443,1.56615,0,0.0191137,-0.0120232,-1.53431,-1.54657,10
1755031943963901230,1.56615,0,0.0191456,-0.00545864,-1.51493,-1.54657,10
1755031943988792350,1.56615,0,0.0191456,-0.00545864,-1.51493,-1.54657,10
1755031944013856285,1.56615,0,0.0191456,-0.00545864,-1.51493,-1.54657,10
1755031944038897461,1.56615,0,0.0191456,-0.00545864,-1.51493,-1.54657,10
1755031944063806544,1.56615,0,0.0191456,0.00279628,-1.53436,-1.54657,10
1755031944088920053,1.56615,0,0.0191618,0.00279628,-1.53436,-1.54657,10
