timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps
1771883069172234358,3.17595,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069182065991,3.17595,0.00585938,0.314159,0.00585938,nan,nan,10,-2
1771883069192082706,3.17607,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069201989724,3.17607,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069212044974,3.17607,0.00195312,0.314159,0,nan,nan,10,2143289344
1771883069222115445,3.17607,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069231962096,3.17607,0.00585938,0.314159,0.00585938,nan,nan,10,-2
1771883069241868317,3.17607,0.00195312,0.314159,-0.00195312,-0.00195312,nan,10,-2
1771883069252008970,-nan,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069262105495,3.17621,0.00585938,0.314159,0.00585938,nan,nan,10,-2
1771883069272309163,3.17621,0,0.314159,0,nan,nan,10,-2
1771883069282111371,3.17621,0.00390625,0.314159,0.00390625,nan,nan,10,-2
1771883069293532767,3.17633,0.00390625,0.314159,0.00390625,nan,nan,10,-2
1771883069302048825,3.17633,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
1771883069312067800,3.17633,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069322105291,3.17633,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
1771883069332114285,3.17621,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069342051689,3.17634,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069351984743,3.17634,0.00195312,0.314159,0.00195312,nan,-2,10,-2
1771883069361919610,3.17633,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069372023006,3.17633,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069381935579,3.17634,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069391947387,3.17634,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069402104483,3.17634,0,0.314159,0,nan,nan,10,-2
1771883069411905710,3.17646,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
1771883069422140968,3.17646,-0.00390625,0.314159,0,nan,nan,10,-2
1771883069432049856,3.17646,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
1771883069442093551,3.17646,0,0.314159,0,nan,nan,10,-2
1771883069452015753,3.17646,0.00585938,0.314159,0.00585938,nan,nan,10,-2
1771883069461906198,3.17646,0,0.314159,0,nan,nan,10,-2
1771883069472249006,3.17646,3.17646,0.314159,0,nan,nan,10,-2
1771883069482111544,3.17646,3.17646,0.314159,0.00195312,nan,nan,10,-2
1771883069492070855,3.17646,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069502249580,3.17646,0.00390625,0.314159,0.00390625,nan,nan,10,-2
1771883069512383918,3.17646,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069522202218,3.17658,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069531978262,3.17658,0.00390625,0.314159,0.00390625,nan,nan,10,-2
1771883069541953553,3.17658,0,0.314159,0,nan,-2,10,-2
1771883069552010692,3.17658,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
